import time: self [us] | cumulative | imported package
import time:       654 |        654 |             zipfile._path.glob
import time:       995 |       1649 |           zipfile._path
import time:      1488 |      10375 |         zipfile
import time:       915 |        915 |         base64
import time:        53 |         53 |               _bisect
import time:       598 |        651 |             bisect
import time:        40 |         40 |             _random
import time:       106 |        106 |             _sha2
import time:       947 |       1743 |           random
import time:      1102 |       2844 |         tempfile
import time:      1087 |       1087 |           __future__
import time:      1072 |       1072 |           encodings.cp437
import time:       228 |        228 |           shibokensupport
import time:       160 |        160 |           shibokensupport.signature
import time:       755 |        755 |             shibokensupport.feature
import time:      4975 |       4975 |             shibokensupport.signature.mapping
import time:      1144 |       1144 |             shibokensupport.signature.errorhandler
import time:        88 |         88 |                   shibokensupport.signature.lib
import time:       521 |        609 |                 shibokensupport.signature.lib.tool
import time:      6795 |       7403 |               shibokensupport.signature.parser
import time:      2270 |       9673 |             shibokensupport.signature.layout
import time:      8093 |       8093 |               PySide6.support
import time:       764 |        764 |               PySide6.support.deprecated
import time:       331 |       9186 |             shibokensupport.signature.importhandler
import time:      2140 |       2140 |             shibokensupport.signature.lib.enum_sig
import time:      1322 |       1322 |                 gettext
import time:      1938 |       3260 |               argparse
import time:      9897 |      13156 |             shibokensupport.signature.lib.pyi_generator
import time:       959 |      41985 |           shibokensupport.signature.loader
import time:     51863 |      96393 |         shiboken6.Shiboken
import time:      1214 |     111740 |       shiboken6
import time:      2734 |     114473 |     PySide6
import time:    102692 |     217165 |   PySide6.QtCore
import time:     58503 |      58503 |   PySide6.QtGui
import time:     66499 |      66499 |   PySide6.QtWidgets
import time:        83 |         83 |       _locale
import time:      2230 |       2312 |     locale
import time:      2659 |       2659 |       dataclasses
import time:      3111 |       5769 |     pprint
import time:       873 |        873 |       signal
import time:       255 |        255 |       fcntl
import time:        47 |         47 |       msvcrt
import time:      2410 |       3584 |     subprocess
import time:       601 |        601 |       packaging
import time:      3611 |       4211 |     packaging.version
import time:       976 |        976 |       matplotlib._api.deprecation
import time:     14756 |      15731 |     matplotlib._api
import time:       919 |        919 |     matplotlib._version
import time:      2003 |       2003 |       gzip
import time:      1795 |       1795 |       shlex
import time:     28817 |      28817 |       matplotlib._c_internal_utils
import time:     19770 |      52384 |     matplotlib.cbook
import time:      1128 |       1128 |     matplotlib._docstring
import time:      1419 |       1419 |         matplotlib.backends.registry
import time:     12589 |      14007 |       matplotlib.backends
import time:       861 |        861 |           PIL._version
import time:      1126 |       1986 |         PIL
import time:      2644 |       2644 |           PIL.ExifTags
import time:       836 |        836 |           PIL.ImageMode
import time:       988 |        988 |           PIL.TiffTags
import time:       507 |        507 |           PIL._binary
import time:       425 |        425 |           PIL._deprecate
import time:       379 |        379 |           PIL._util
import time:       243 |        243 |           defusedxml
import time:       908 |        908 |           PIL._imaging
import time:      2806 |       9731 |         PIL.Image
import time:      1646 |       1646 |               _decimal
import time:       639 |       2285 |             decimal
import time:      1509 |       3793 |           fractions
import time:       561 |        561 |           PIL.ImageChops
import time:      2600 |       2600 |           PIL.ImageFile
import time:       109 |        109 |             array
import time:       653 |        653 |             PIL.GimpGradientFile
import time:       442 |        442 |             PIL.GimpPaletteFile
import time:       471 |        471 |             PIL.ImageColor
import time:       403 |        403 |             PIL.PaletteFile
import time:      1571 |       3647 |           PIL.ImagePalette
import time:       358 |        358 |           PIL.ImageSequence
import time:      2224 |      13181 |         PIL.PngImagePlugin
import time:      1323 |       1323 |         matplotlib._cm
import time:     26150 |      26150 |               matplotlib._path
import time:      1073 |       1073 |                 matplotlib.bezier
import time:     13595 |      14667 |               matplotlib.path
import time:     25697 |      66513 |             matplotlib.transforms
import time:      2488 |      69000 |           matplotlib.ticker
import time:     29480 |      98480 |         matplotlib.scale
import time:     21375 |      21375 |         matplotlib._image
import time:      1538 |       1538 |         matplotlib._color_data
import time:     16035 |     163647 |       matplotlib.colors
import time:      1925 |       1925 |           pyparsing.warnings
import time:      1270 |       1270 |           pyparsing.util
import time:      3264 |       3264 |             pyparsing.unicode
import time:     27764 |      31027 |           pyparsing.exceptions
import time:      1226 |       1226 |             pyparsing.results
import time:     18263 |      19488 |           pyparsing.actions
import time:     25062 |      25062 |           pyparsing.core
import time:      1721 |       1721 |                 html.entities
import time:      1912 |       3632 |               html
import time:        42 |       3674 |             html.entities
import time:     19539 |      23213 |           pyparsing.helpers
import time:      2044 |       2044 |                 unittest.util
import time:      2483 |       4527 |               unittest.result
import time:      7671 |       7671 |                 difflib
import time:     10334 |      18005 |               unittest.case
import time:      3880 |       3880 |               unittest.suite
import time:      3940 |       3940 |               unittest.loader
import time:       939 |        939 |                   unittest.signals
import time:      2562 |       3500 |                 unittest.runner
import time:      2823 |       6323 |               unittest.main
import time:      3922 |      40596 |             unittest
import time:      1097 |      41693 |           pyparsing.testing
import time:     10820 |      10820 |           pyparsing.common
import time:       900 |        900 |               importlib.resources.abc
import time:      1284 |       1284 |               importlib.resources._adapters
import time:      2089 |       4272 |             importlib.resources._common
import time:       835 |        835 |             importlib.resources._legacy
import time:      2520 |       7627 |           importlib.resources
import time:    152768 |     314888 |         pyparsing
import time:      1800 |     316688 |       matplotlib._fontconfig_pattern
import time:      1879 |       1879 |       matplotlib._enums
import time:      1489 |       1489 |       cycler
import time:     55446 |     553153 |     matplotlib.rcsetup
import time:     27847 |      27847 |     matplotlib.ft2font
import time:       571 |        571 |     dateutil._version
import time:      1291 |       1291 |       kiwisolver.exceptions
import time:     41732 |      43023 |     kiwisolver._cext
import time:      5370 |       5370 |       numpy.ma.core
import time:      4420 |       4420 |       numpy.ma.extras
import time:      2249 |      12038 |     numpy.ma
import time:      2931 |       2931 |         matplotlib.artist
import time:      2078 |       5009 |       matplotlib.colorizer
import time:      1946 |       1946 |       matplotlib._cm_listed
import time:      1471 |       1471 |       matplotlib._cm_multivar
import time:      1195 |       1195 |       matplotlib._cm_bivar
import time:     62355 |      71975 |     matplotlib.cm
import time:    154716 |     949354 |   matplotlib
import time:      2927 |       2927 |       calendar
import time:      4915 |       4915 |       six
import time:        78 |         78 |       six.moves
import time:      1283 |       1283 |       dateutil._common
import time:     30604 |      39806 |     dateutil.rrule
import time:      1487 |       1487 |     dateutil.relativedelta
import time:       860 |        860 |           dateutil.tz._common
import time:      1141 |       1141 |           dateutil.tz._factories
import time:      1153 |       1153 |             ctypes.wintypes
import time:      2106 |       3258 |           dateutil.tz.win
import time:     38292 |      43550 |         dateutil.tz.tz
import time:     25783 |      69333 |       dateutil.parser._parser
import time:      1394 |       1394 |       dateutil.parser.isoparser
import time:     29111 |      99837 |     dateutil.parser
import time:      1667 |       1667 |     matplotlib.units
import time:     29484 |     172280 |   matplotlib.dates
import time:      3704 |       3704 |     matplotlib.backends.qt_compat
import time:      3716 |       3716 |           _socket
import time:       982 |        982 |             select
import time:      1067 |       2049 |           selectors
import time:      2373 |       8137 |         socket
import time:       947 |        947 |             _uuid
import time:       937 |       1884 |           uuid
import time:      1749 |       1749 |           matplotlib._pylab_helpers
import time:     25664 |      29295 |         matplotlib.backend_tools
import time:      1445 |       1445 |                   xml
import time:       779 |       2223 |                 xml.parsers
import time:      1218 |       1218 |                 pyexpat
import time:      1015 |       4456 |               xml.parsers.expat
import time:      2616 |       7071 |             plistlib
import time:      1953 |       1953 |               matplotlib._mathtext_data
import time:     15673 |      17625 |             matplotlib._afm
import time:     35250 |      59945 |           matplotlib.font_manager
import time:      1646 |       1646 |             matplotlib.hatch
import time:      2338 |       2338 |               matplotlib.markers
import time:     21336 |      23674 |             matplotlib.lines
import time:     32293 |      57612 |           matplotlib.patches
import time:      3844 |       3844 |             matplotlib._text_helpers
import time:      2015 |       2015 |             matplotlib.dviread
import time:      1583 |       1583 |                 unicodedata
import time:      2999 |       4582 |               matplotlib._mathtext
import time:     22883 |      27465 |             matplotlib.mathtext
import time:      2976 |       2976 |                 _hashlib
import time:        72 |         72 |                 _blake2
import time:      1100 |       4147 |               hashlib
import time:      1859 |       6006 |             matplotlib.texmanager
import time:     16327 |      55656 |           matplotlib.textpath
import time:     84819 |     258030 |         matplotlib.text
import time:      1687 |       1687 |         matplotlib._tight_bbox
import time:     14871 |      14871 |           matplotlib.collections
import time:     14933 |      29803 |         matplotlib.widgets
import time:      1253 |       1253 |         matplotlib.backend_managers
import time:      1059 |       1059 |             matplotlib._layoutgrid
import time:      1024 |       2083 |           matplotlib._constrained_layout
import time:      1598 |       1598 |           matplotlib._tight_layout
import time:     25753 |      29433 |         matplotlib.layout_engine
import time:     30599 |     388235 |       matplotlib.backend_bases
import time:     29203 |      29203 |       matplotlib.backends._backend_agg
import time:     45218 |     462655 |     matplotlib.backends.backend_agg
import time:      2269 |       2269 |         matplotlib.backends.qt_editor
import time:     11379 |      11379 |         matplotlib.image
import time:      7328 |       7328 |         matplotlib.backends.qt_editor._formlayout
import time:     34637 |      55611 |       matplotlib.backends.qt_editor.figureoptions
import time:      8106 |      63716 |     matplotlib.backends.backend_qt
import time:     61038 |     591112 |   matplotlib.backends.backend_qtagg
import time:      1403 |       1403 |     matplotlib._blocking_input
import time:     22514 |      22514 |           matplotlib.offsetbox
import time:      7741 |       7741 |           matplotlib.axis
import time:      1632 |       1632 |           matplotlib.gridspec
import time:      4822 |       4822 |           matplotlib.spines
import time:     25352 |      25352 |           matplotlib.table
import time:     23980 |      86038 |         matplotlib.axes._base
import time:      1678 |       1678 |           matplotlib.category
import time:      6214 |       6214 |           matplotlib.contour
import time:      2223 |       2223 |           matplotlib.inset
